NO_UF,Indice_infra,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,ano
['Sergipe'],0.4538078769459048,['SE'],[28],['Arauá'],[2800407],2931.0,598.0,303.0,295.0,1725.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,['2019']
['Piauí' 'Alagoas'],0.3772242215110517,['PI' 'AL'],[22 27],['Batalha'],[2201507 2700706],12743.0,1790.0,784.0,1006.0,5849.0,1817.0,481.0,0.0,0.0,0.0,2325.0,308.0,['2019']
['Maranhão'],0.2846508274033736,['MA'],[21],['Benedito Leite'],[2101806],1286.0,247.0,71.0,176.0,739.0,208.0,0.0,0.0,0.0,0.0,690.0,0.0,['2019']
['Maranhão'],0.33148565621030923,['MA'],[21],['Boa Vista do Gurupi'],[2101970],2681.0,481.0,172.0,309.0,1618.0,355.0,0.0,0.0,0.0,0.0,82.0,0.0,['2019']
['Bahia'],0.37090340303686137,['BA'],[29],['Boninal'],[2904001],2946.0,480.0,117.0,363.0,1696.0,726.0,0.0,0.0,0.0,0.0,21.0,0.0,['2019']
['Sergipe'],0.48778910828592126,['SE'],[28],['Boquim'],[2800670],5359.0,817.0,306.0,511.0,3314.0,751.0,78.0,0.0,0.0,0.0,2.0,260.0,['2019']
['Bahia'],0.3088858334007153,['BA'],[29],['Buerarema'],[2904704],3581.0,441.0,104.0,337.0,2170.0,490.0,69.0,0.0,0.0,0.0,78.0,0.0,['2019']
['Piauí'],0.3784177625776507,['PI'],[22],['Cajueiro da Praia'],[2202083],1826.0,373.0,20.0,353.0,1143.0,223.0,0.0,0.0,0.0,0.0,503.0,46.0,['2019']
['Piauí'],0.3445976558854555,['PI'],[22],['Campinas do Piauí'],[2202109],1644.0,228.0,115.0,113.0,798.0,144.0,0.0,0.0,0.0,0.0,179.0,37.0,['2019']
['Bahia'],0.4501709605110374,['BA'],[29],['Caém'],[2905107],2549.0,488.0,206.0,282.0,1616.0,334.0,0.0,239.0,206.0,33.0,88.0,58.0,['2019']
